employee_id,first_name,last_name,gender,birth_date,hire_date,exit_date,attrition_flag,manager_id,role_id,is_ghost_manager_flag,invalid_exit_date_flag,missing_exit_date_flag,active_with_exit_date_flag,age_years,tenure_years
1,Karim,Ghoneim,Male,1998-07-29,2022-10-17,,No,8785,57,False,False,False,False,27.4,3.2
2,Rabab,Zaki,Female,1977-06-14,2020-04-21,,No,10228,63,False,False,False,False,48.6,5.7
3,Samy,Shalaby,Male,1996-08-10,2020-07-23,2025-06-10,Yes,12654,47,False,False,False,False,29.4,4.9
4,Tarek,Nasr,Male,1976-09-28,2020-03-16,,No,7039,74,False,False,False,False,49.3,5.8
5,Heba,Khamis,Female,1996-10-08,2020-06-25,2024-01-08,Yes,4626,69,False,False,False,False,29.2,3.5
6,Dina,Hegazy,Female,1999-08-24,2023-08-26,,No,12238,68,False,False,False,False,26.4,2.4
7,Ziad Sherif,Khalil,Male,1990-09-02,2020-08-15,,No,7246,62,False,False,False,False,35.3,5.4
8,Nader,Amer,Male,1984-05-09,2021-01-17,,No,6750,9,False,False,False,False,41.6,5.0
9,Amira,Soliman,Female,1991-12-02,2021-12-29,,No,8241,14,False,False,False,False,34.1,4.0
10,Ayman,Mandour,Male,1999-10-27,2023-09-23,,No,9600,56,False,False,False,False,26.2,2.3
11,Sara,Elwy,Female,1982-09-29,2020-03-08,,No,396,73,False,False,False,False,43.3,5.8
12,Naglaa,Abdalla,Female,1982-03-18,2021-07-28,,No,13132,52,False,False,False,False,43.8,4.4
13,Dalia,Moustafa,Female,2000-05-27,2024-01-13,,No,7737,13,False,False,False,False,25.6,2.0
14,Laila,Saad,Female,1998-06-23,2019-04-07,,No,12206,48,False,False,False,False,27.5,6.7
15,Hazem,Hendy,Male,2000-02-21,2022-05-05,,No,14550,67,False,False,False,False,25.9,3.7
16,Ahmed,Kamel,Male,1996-01-09,2023-03-18,,No,5180,36,False,False,False,False,30.0,2.8
17,Hala,Desouki,Female,1982-01-14,2024-05-07,,No,4703,27,False,False,False,False,44.0,1.7
18,Hend,Morsi,Female,1976-03-11,2023-11-18,2025-05-13,Yes,12058,63,False,False,False,False,49.8,1.5
19,Ziad,Ramadan,Male,1998-11-27,2022-01-09,,No,4452,56,False,False,False,False,27.1,4.0
20,Bassem,Bayoumi,Male,1985-06-02,2021-01-13,,No,245,74,False,False,False,False,40.6,5.0
21,Nadia,Khattab,Female,1982-12-17,2023-02-07,2025-11-16,Yes,11353,73,False,False,False,False,43.0,2.8
22,Samy,Yousef,Male,1987-05-01,2024-04-23,2025-11-09,Yes,4013,38,False,False,False,False,38.7,1.5
23,Rabab,Barakat,Female,2002-03-27,2023-02-03,2024-06-03,Yes,8535,45,False,False,False,False,23.8,1.3
24,Abeer,Ezzat,Female,2000-07-13,2019-09-05,,No,9163,56,False,False,False,False,25.5,6.3
25,Ghada,Fekry,Female,1998-05-26,2022-12-20,,No,9629,13,False,False,False,False,27.6,3.0
26,Sara,Gabr,Female,1999-05-03,2020-07-24,,No,464,56,False,False,False,False,26.7,5.4
27,Samir,Selim,Male,1994-07-26,2020-01-25,,No,8993,59,False,False,False,False,31.4,5.9
28,Hazem,Shahin,Male,2002-02-02,2019-04-21,,No,11468,1,False,False,False,False,23.9,6.7
29,Mahmoud,Hafez,Male,1990-12-24,2023-10-31,,No,5445,61,False,False,False,False,35.0,2.2
30,Manar,Mostafa,Female,1999-07-25,2021-08-05,2025-06-06,Yes,9292,2,False,False,False,False,26.4,3.8
31,Heba,Salem,Female,1981-01-23,2023-09-09,,No,12451,19,False,False,False,False,44.9,2.3
32,Wael,Ghoneim,Male,1973-05-25,2020-03-13,,No,4036,11,False,False,False,False,52.6,5.8
33,Asmaa,Mansour,Female,1992-12-22,2024-03-12,,No,12059,69,False,False,False,False,33.0,1.8
34,Naglaa,Ramadan,Female,1984-06-10,2024-06-06,,No,6052,71,False,False,False,False,41.6,1.6
35,Bassem Samir,Hassan,Male,1995-08-22,2024-02-26,,No,555,3,False,False,False,False,30.4,1.8
36,Hend,Farid,Female,1990-10-08,2022-05-03,,No,4144,69,False,False,False,False,35.2,3.7
37,Dina,Khattab,Female,1988-09-01,2019-03-23,,No,8716,7,False,False,False,False,37.3,6.8
38,Hosam,Elwy,Male,1999-02-23,2022-10-03,,No,13835,45,False,False,False,False,26.9,3.2
39,Laila,Ayoub,Female,2002-03-20,2024-03-31,,No,14623,57,False,False,False,False,23.8,1.8
40,Youssef,Soliman,Male,2000-11-02,2020-06-27,,No,11771,1,False,False,False,False,25.2,5.5
